seed,final_test_accuracy,max_test_accuracy
30,0.6055555555555555,0.6277777777777778
31,0.6111111111111112,0.65
32,0.6666666666666666,0.7
33,0.6388888888888888,0.6611111111111111
34,0.6388888888888888,0.6666666666666666
35,0.6444444444444445,0.6944444444444444
36,0.65,0.6666666666666666
37,0.6333333333333333,0.65
38,0.6666666666666666,0.6666666666666666
39,0.5777777777777777,0.6
